,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,Air-Conditioning,Audio System,BBQ pits,Basketball court,Bathtub,Bed,Billiards room,Broadband Internet,Club,Clubhouse,Colonial Building,Corner Unit,DVD Player,Dishwasher,Driving range,Dryer,Fridge,Function room,Game room,Ground Floor,Hairdryer,High Floor,ISDN,Internet Connection,Iron / Ironing Board,Jacuzzi,Karaoke,Kitchen,Launderette,Library,Lounge,Low Floor,Maidsroom,Mini golf range,Mini-Mart,Multi-purpose hall,Original Condition,Outdoor Patio,Own Chiller Plant,Pantry,Pavillion,Penthouse,Playground,Private Garden,Private Pool,Putting Green,Reflexology Path,Renovated,Roof Terrace,SCV/SMATV System,Sea View,Sky Lounge,Squash court,Tennis courts,Vacuum Cleaner,Walk-in-wardrobe,Washing Machine,Water Heater,balcony,car park,cook,fitness,furniture,nan,pool,sauna,security,tv,view,y_true,y_pred,diff
0,1,1,47.0,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2010,Ratchathewi,0,0,10000,130,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5590000,5726217.5,-136217.5
1,2,2,102.0,no,2008,Bang Rak,0,0,290,100,10000,10000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,22506000,23176038.0,-670038.0
2,2,2,95.21,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,10000,240,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,35220000,32567502.0,2652498.0
3,1,1,70.0,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2010,Bang Rak,0,0,10000,200,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,11200000,11230514.0,-30514.0
4,2,2,102.72,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,10000,240,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,26150000,30390328.0,-4240328.0
5,1,1,38.33,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2014,Khlong Toei,0,0,10000,530,10000,10000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,3560000,4009258.2,-449258.25
6,1,1,42.0,no,2014,Chatuchak,0,0,10000,10000,10000,10000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,3500000,2479811.2,1020188.75
7,1,1,46.0,no,2012,Ratchathewi,0,0,10000,170,180,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,7500000,7235117.5,264882.5
8,1,1,28.0,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2018,Ratchathewi,1,0,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6150000,4761922.0,1388078.0
9,2,2,65.0,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2015,Sathon,1,0,10000,310,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,11900000,10648063.0,1251937.0
